INFO:root:end_time;n_epochs;randomInit;best_validation_score;iteration;test_score;activation
INFO:root:1361.81415578;80;False;2.21;200000;2.27;Elemwise{tanh,no_inplace}
INFO:root:1534.45445533;90;False;2.15;220000;2.22;Elemwise{tanh,no_inplace}
INFO:root:1700.68708193;100;False;2.13;245000;2.19;Elemwise{tanh,no_inplace}
INFO:root:1864.25694549;110;False;2.12;257500;2.17;Elemwise{tanh,no_inplace}
INFO:root:2031.68880016;120;False;2.08;300000;2.12;Elemwise{tanh,no_inplace}
INFO:root:2204.32345328;130;False;2.03;325000;2.09;Elemwise{tanh,no_inplace}
INFO:root:2379.41626319;140;False;2.03;325000;2.09;Elemwise{tanh,no_inplace}
INFO:root:2552.16451907;150;False;2.03;325000;2.09;Elemwise{tanh,no_inplace}
INFO:root:2723.89213885;160;False;2.03;325000;2.09;Elemwise{tanh,no_inplace}
INFO:root:2898.16408566;170;False;2.03;325000;2.09;Elemwise{tanh,no_inplace}
INFO:root:3071.16167462;180;False;2.03;325000;2.09;Elemwise{tanh,no_inplace}
INFO:root:3235.06647561;190;False;2.0;475000;1.98;Elemwise{tanh,no_inplace}
INFO:root:3395.60315478;200;False;2.0;475000;1.98;Elemwise{tanh,no_inplace}
INFO:root:3558.94331549;210;False;1.98;520000;1.95;Elemwise{tanh,no_inplace}
INFO:root:3722.01705872;220;False;1.97;547500;1.94;Elemwise{tanh,no_inplace}
INFO:root:3884.98862783;230;False;1.95;565000;1.96;Elemwise{tanh,no_inplace}
INFO:root:4045.67566217;240;False;1.95;565000;1.96;Elemwise{tanh,no_inplace}
INFO:root:4205.99140649;250;False;1.95;565000;1.96;Elemwise{tanh,no_inplace}
INFO:root:4366.90329082;260;False;1.94;647500;1.91;Elemwise{tanh,no_inplace}
INFO:root:4526.90918358;270;False;1.94;647500;1.91;Elemwise{tanh,no_inplace}
INFO:root:4687.91775236;280;False;1.94;647500;1.91;Elemwise{tanh,no_inplace}
INFO:root:4850.46648251;290;False;1.92;720000;1.85;Elemwise{tanh,no_inplace}
INFO:root:5011.54470678;300;False;1.91;727500;1.84;Elemwise{tanh,no_inplace}
INFO:root:5173.4667447;310;False;1.89;762500;1.83;Elemwise{tanh,no_inplace}
INFO:root:5333.73706052;320;False;1.89;762500;1.83;Elemwise{tanh,no_inplace}
INFO:root:5493.96946551;330;False;1.89;762500;1.83;Elemwise{tanh,no_inplace}
INFO:root:5653.87187132;340;False;1.89;762500;1.83;Elemwise{tanh,no_inplace}
INFO:root:5815.29810616;350;False;1.88;872500;1.81;Elemwise{tanh,no_inplace}
INFO:root:5977.45660837;360;False;1.86;897500;1.8;Elemwise{tanh,no_inplace}
INFO:root:6139.40777046;370;False;1.86;897500;1.8;Elemwise{tanh,no_inplace}
INFO:root:6312.45266152;380;False;1.86;897500;1.8;Elemwise{tanh,no_inplace}
INFO:root:6485.09530445;390;False;1.86;897500;1.8;Elemwise{tanh,no_inplace}
INFO:root:6661.17948586;400;False;1.86;897500;1.8;Elemwise{tanh,no_inplace}
INFO:root:6837.38885307;410;False;1.84;1007500;1.76;Elemwise{tanh,no_inplace}
INFO:root:7012.71912704;420;False;1.84;1007500;1.76;Elemwise{tanh,no_inplace}
INFO:root:7188.1484088;430;False;1.84;1007500;1.76;Elemwise{tanh,no_inplace}
INFO:root:7363.50138793;440;False;1.84;1007500;1.76;Elemwise{tanh,no_inplace}
INFO:root:7540.35501974;450;False;1.82;1117500;1.77;Elemwise{tanh,no_inplace}
INFO:root:7716.15384343;460;False;1.81;1137500;1.77;Elemwise{tanh,no_inplace}
INFO:root:7890.85229566;470;False;1.81;1137500;1.77;Elemwise{tanh,no_inplace}
INFO:root:8063.11773669;480;False;1.8;1182500;1.75;Elemwise{tanh,no_inplace}
INFO:root:8236.4614743;490;False;1.8;1182500;1.75;Elemwise{tanh,no_inplace}
INFO:root:8408.8259259;500;False;1.8;1182500;1.75;Elemwise{tanh,no_inplace}
INFO:root:173.141928212;10;True;2.83;25000;2.71;Elemwise{tanh,no_inplace}
INFO:root:343.558897269;20;True;2.55;50000;2.42;Elemwise{tanh,no_inplace}
INFO:root:512.713250148;30;True;2.41;75000;2.32;Elemwise{tanh,no_inplace}
INFO:root:675.614941698;40;True;2.41;75000;2.32;Elemwise{tanh,no_inplace}
INFO:root:845.229916985;50;True;2.28;125000;2.19;Elemwise{tanh,no_inplace}
INFO:root:1019.55962599;60;True;2.28;125000;2.19;Elemwise{tanh,no_inplace}
INFO:root:1193.14595811;70;True;2.21;170000;2.09;Elemwise{tanh,no_inplace}
INFO:root:1358.80612351;80;True;2.2;192500;2.09;Elemwise{tanh,no_inplace}
INFO:root:1521.43896742;90;True;2.19;225000;2.06;Elemwise{tanh,no_inplace}
INFO:root:1685.87741418;100;True;2.15;247500;2.04;Elemwise{tanh,no_inplace}
INFO:root:1854.36388057;110;True;2.15;247500;2.04;Elemwise{tanh,no_inplace}
INFO:root:2024.81117511;120;True;2.13;292500;1.96;Elemwise{tanh,no_inplace}
INFO:root:2196.42699808;130;True;2.12;325000;1.9;Elemwise{tanh,no_inplace}
INFO:root:2377.23676613;140;True;2.11;350000;1.9;Elemwise{tanh,no_inplace}
INFO:root:2556.06782342;150;True;2.1;355000;1.9;Elemwise{tanh,no_inplace}
INFO:root:2737.72122084;160;True;2.06;392500;1.88;Elemwise{tanh,no_inplace}
INFO:root:2920.04546723;170;True;2.03;415000;1.86;Elemwise{tanh,no_inplace}
INFO:root:3098.50378124;180;True;2.03;415000;1.86;Elemwise{tanh,no_inplace}
INFO:root:3277.48912422;190;True;2.03;415000;1.86;Elemwise{tanh,no_inplace}
INFO:root:3456.57988232;200;True;2.03;415000;1.86;Elemwise{tanh,no_inplace}
INFO:root:3631.66451953;210;True;2.03;415000;1.86;Elemwise{tanh,no_inplace}
INFO:root:3807.13950691;220;True;2.03;415000;1.86;Elemwise{tanh,no_inplace}
INFO:root:3985.19174398;230;True;2.0;570000;1.8;Elemwise{tanh,no_inplace}
INFO:root:4163.49766268;240;True;1.97;597500;1.81;Elemwise{tanh,no_inplace}
INFO:root:4341.95007506;250;True;1.93;625000;1.8;Elemwise{tanh,no_inplace}
INFO:root:4519.32290511;260;True;1.9;642500;1.8;Elemwise{tanh,no_inplace}
INFO:root:4692.71563459;270;True;1.89;660000;1.8;Elemwise{tanh,no_inplace}
INFO:root:4870.15446111;280;True;1.87;697500;1.81;Elemwise{tanh,no_inplace}
INFO:root:5044.67444732;290;True;1.86;722500;1.85;Elemwise{tanh,no_inplace}
INFO:root:5217.43927859;300;True;1.86;722500;1.85;Elemwise{tanh,no_inplace}
INFO:root:5392.75635999;310;True;1.85;770000;1.85;Elemwise{tanh,no_inplace}
INFO:root:5564.27951768;320;True;1.85;770000;1.85;Elemwise{tanh,no_inplace}
INFO:root:5737.00083929;330;True;1.84;805000;1.86;Elemwise{tanh,no_inplace}
INFO:root:5910.00798282;340;True;1.84;805000;1.86;Elemwise{tanh,no_inplace}
INFO:root:6081.89122865;350;True;1.84;805000;1.86;Elemwise{tanh,no_inplace}
INFO:root:6255.07168396;360;True;1.84;805000;1.86;Elemwise{tanh,no_inplace}
INFO:root:6428.47667156;370;True;1.83;920000;1.85;Elemwise{tanh,no_inplace}
INFO:root:6599.22637928;380;True;1.83;920000;1.85;Elemwise{tanh,no_inplace}
INFO:root:6774.42702514;390;True;1.81;975000;1.83;Elemwise{tanh,no_inplace}
INFO:root:6948.42074096;400;True;1.79;987500;1.82;Elemwise{tanh,no_inplace}
INFO:root:7123.78294202;410;True;1.78;1002500;1.82;Elemwise{tanh,no_inplace}
INFO:root:7299.14960312;420;True;1.78;1002500;1.82;Elemwise{tanh,no_inplace}
INFO:root:7471.30184914;430;True;1.77;1055000;1.81;Elemwise{tanh,no_inplace}
INFO:root:7644.38092997;440;True;1.77;1055000;1.81;Elemwise{tanh,no_inplace}
INFO:root:7818.76492504;450;True;1.75;1125000;1.81;Elemwise{tanh,no_inplace}
INFO:root:7986.08030267;460;True;1.75;1125000;1.81;Elemwise{tanh,no_inplace}
INFO:root:8153.91074926;470;True;1.74;1160000;1.78;Elemwise{tanh,no_inplace}
INFO:root:8328.36661491;480;True;1.73;1200000;1.76;Elemwise{tanh,no_inplace}
INFO:root:8500.49392483;490;True;1.72;1207500;1.76;Elemwise{tanh,no_inplace}
INFO:root:8675.88865993;500;True;1.72;1207500;1.76;Elemwise{tanh,no_inplace}
